name;reference#;supplier_reference#;cost_price;price_tax_excluded;label_in_stock;quantity;img_url;features;active;description;available_for_order;category
HP - power adapter - 65 Watt;L2X04AA#ABA;3731059;47.99;53.75;In Stock;100;https://webobjects2.cdw.com/is/image/CDW/3731059?$product_search_result$;Brand:HP:::Header, Compatibility:PC:::Header, Country Kits:United States:::Header, Localization:English:::Header, Manufacturer:Hewlett Packard Desktops Only:::Header, Packaged Quantity:1:::Header, Product Line:HP:::Header, Color Category:Black:::Miscellaneous, Efficiency:87%:::Power Device, Form Factor:External:::Power Device, Frequency Required:50/60 Hz:::Power Device, Input Voltage Range:AC 90 - 264 V:::Power Device, Power Factor Correction:Active Power Factor Correction (PFC):::Power Device, Power Provided:65 Watt:::Power Device, Voltage Required:AC 100-240 V:::Power Device, Depth:3 cm:::Dimensions & Weight, Height:5.5 cm:::Dimensions & Weight, Width:11.35 cm:::Dimensions & Weight, Product Type:Power adapter:::General, Subcategory:Power adapters:::General, Compatible With:HP 260 G1, HP Elite Slice, HP Elite Slice for Meeting Rooms, HP EliteDesk 705 G3, HP EliteDesk 800 G1, HP ProDesk 400 G1, HP ProDesk 400 G2, HP ProDesk 400 G3, HP ProDesk 600 G1:::Miscellaneous (CDW), ;1;Keep an extra HP Desktop Mini adapter at the ready, or take it with you if you use your HP Desktop Mini on the go with the HP Desktop 90W Mini Power Supply Kit.;1;Home/Computer Accessories/Computer Components
HPE - DDR4 - 16 GB - DIMM 288-pin;805349-B21-AVN;4189939;961.99;1077.43;In Stock;0;https://webobjects2.cdw.com/is/image/CDW/4189939?$product_search_result$;Brand:HPE:::Header, Compatibility:PC:::Header, Manufacturer:Avnet HP Server CTOs & HPB:::Header, Packaged Quantity:1:::Header, Product Line:HPE:::Header, OEM Manufacturer Equivalent Part Number:HP 805349-B21:::Miscellaneous, CAS Latency:CL17:::RAM, Chips Organization:X4:::RAM, Data Integrity Check:ECC:::RAM, Form Factor:DIMM 288-pin:::RAM, Latency Timings:17-17-17:::RAM, Memory Specification Compliance:PC4-19200:::RAM, Memory Speed:2400 MHz:::RAM, RAM Features:Single rank:::RAM, Registered or Buffered:Registered:::RAM, Storage Capacity:16 GB:::RAM, Supply Voltage:1.2 V:::RAM, Technology:DDR4 SDRAM:::RAM, Type:DRAM:::RAM, Upgrade Type:System specific:::RAM, Compatible With:HPE Apollo 4520 Gen9, HPE ProLiant DL120 Gen9, HPE ProLiant DL120 Gen9 Entry, HPE ProLiant DL160 Gen9, HPE ProLiant DL160 Gen9 Base, HPE ProLiant DL160 Gen9 Entry, HPE ProLiant DL160 Gen9 Performance, HPE ProLiant DL180 Gen9, HPE ProLiant DL180 Gen9 Base, HPE ProLiant DL180 Gen9 Entry, HPE ProLiant DL180 Gen9 Storage, HPE ProLiant DL360 Gen9, HPE ProLiant DL360 Gen9 Base, HPE ProLiant DL360 Gen9 CMS, HPE ProLiant DL360 Gen9 Entry, HPE ProLiant DL360 Gen9 Performance, HPE ProLiant DL360 Gen9 Special Server, HPE ProLiant DL380 Gen9, HPE ProLiant DL380 Gen9 Base, HPE ProLiant DL380 Gen9 Entry, HPE ProLiant DL380 Gen9 High Performance, HPE ProLiant DL380 Gen9 Performance, HPE ProLiant DL380 Gen9 Scale-up SAP HANA Tailored Datacenter Integration Compute Block, HPE ProLiant DL380 Gen9 Special, HPE ProLiant DL388 Gen9, HPE ProLiant DL388 Gen9 Base, HPE ProLiant DL580 Gen9, HPE ProLiant DL580 Gen9 Database, HPE ProLiant DL580 Gen9 SAP HANA Scale-up Base Configuration, HPE ProLiant DL60 Gen9, HPE ProLiant DL60 Gen9 Base, HPE ProLiant DL60 Gen9 Entry, HPE ProLiant DL80 Gen9, HPE ProLiant DL80 Gen9 Base, HPE ProLiant DL80 Gen9 Entry, HPE ProLiant ML110 Gen9, HPE ProLiant ML110 Gen9 Base, HPE ProLiant ML110 Gen9 Entry, HPE ProLiant ML150 Gen9, HPE ProLiant ML150 Gen9 Base, HPE ProLiant ML150 Gen9 Entry, HPE ProLiant ML150 Gen9 Performance, HPE ProLiant ML350 Gen9, HPE ProLiant ML350 Gen9 Base, HPE ProLiant ML350 Gen9 Entry, HPE ProLiant ML350 Gen9 Performance, HPE ProLiant WS460c Gen9, HPE ProLiant WS460c Gen9 Graphics, HPE ProLiant WS460c Gen9 Graphics Expansion, HPE ProLiant XL190r Gen9, HPE StoreEasy 1850, HPE StoreEasy 3850 Gateway Single Node, HPE Synergy 480 Gen9 Compute Module, HPE Synergy 620 Gen9 2S-EX Base Compute Module, HPE Synergy 620 Gen9 2S-EX Performance Compute Module, HPE Synergy 660 Gen9 Base Compute Module, HPE Synergy 660 Gen9 Compute Module, HPE Synergy 660 Gen9 Entry Compute Module, HPE Synergy 660 Gen9 Expanded Storage Compute Module, HPE Synergy 660 Gen9 Performance Compute Module, HPE Synergy 680 Gen9 4S-EX Base Compute Module, HPE Synergy 680 Gen9 4S-EX Performance Compute Module:::Miscellaneous (CDW), ;0;Does your server have the memory it needs to perform as its role expands over time? When you choose HPE DDR4 SmartMemory, you get great performance, reliability, and efficiency that provides the compatibility, capacity and bandwidth you need to productively manage your expanding workload with the HPE ProLiant Gen9 server, Apollo Family, Synergy and Blade Systems. The quality and reliability of DRAM are more important now than ever, as data center trends such as server virtualization, cloud computing, the use of large database applications, have all increased the need for higher capacity memory with greater uptime. HPE SmartMemory goes through rigorous qualification and testing processes that unlock extended memory performance features available only with Hewlett Packard Enterprise Gen9 servers. This extensive testing ensures that HPE server memory is completely compatible with and optimized for HPE servers.;0;Home/Computer Accessories/Computer Components
HP Fan and Front Card Guide Kit - system fan kit;J9P80AA;3677829;31.99;35.83;In Stock;100;https://webobjects2.cdw.com/is/image/CDW/3677829?$product_search_result$;Category of Accessory:Desktop computer and server accessories:::General, Compatible With:HP Workstation Z440:::Miscellaneous (CDW), Brand:HP:::Header, Compatibility:PC:::Header, Manufacturer:Hewlett Packard Desktops Only:::Header, Model:Fan and Front Card Guide Kit:::Header, Packaged Quantity:1:::Header, Product Line:HP:::Header, Product Type:System fan kit:::Miscellaneous, ;1;Help enable correct thermals and added mechanical stability when configuring select graphics cards on the HP Z440 Workstation with the HP Z440 Fan and Front Card Guide Kit.;1;Home/Computer Accessories/Computer Components
Intel Solid-State Drive 545S Series - solid state drive - 256 GB - SATA 6Gb;SSDSC2KW256G8X1;4862432;139.99;156.79;In Stock;100;https://webobjects2.cdw.com/is/image/CDW/4862432?$product_search_result$;"Max Operating Temperature:70 °C:::Environmental Parameters, Min Operating Temperature:0 °C:::Environmental Parameters, Brand:Intel:::Header, Manufacturer:Intel:::Header, Model:Solid-State Drive 545S Series:::Header, Packaged Quantity:1:::Header, Product Line:Intel:::Header, Qty:1:::Interface Provided, Storage Interface:Serial ATA-600:::Interface Provided, Color Category:Silver:::Miscellaneous, Encryption Algorithm:256-bit AES:::Miscellaneous, Hardware Encryption:Yes:::Miscellaneous, MTBF:1,600,000 hours:::Miscellaneous, Support Details Full Contract Period:5 years:::Service, Support Details Type:Limited warranty:::Service, Capacity:256 GB:::Storage Hard Drive, Features:End-to-end data protection, Rapid Start Technology, Smart Response Technology:::Storage Hard Drive, Height:7 mm:::Dimensions & Weight, Type:5 years warranty:::Service & Support, 4KB Random Read:75000 IOPS:::Hard Drive, 4KB Random Write:85000 IOPS:::Hard Drive, Average Latency:50 µs:::Hard Drive, Data Transfer Rate:550 MBps:::Hard Drive, Form Factor:2.5"":::Hard Drive, Form Factor (metric):6.4 cm:::Hard Drive, Form Factor (Short):2.5"":::Hard Drive, Form Factor (Short) (metric):6.4 cm:::Hard Drive, Hard Drive Type:Internal hard drive:::Hard Drive, Interface:Serial ATA-600:::Hard Drive, Internal Data Rate:500 MBps:::Hard Drive, NAND Flash Memory Type:3D triple-level cell (TLC):::Hard Drive, Non-Recoverable Errors:1 per 10^15:::Hard Drive, Storage Interface:Serial ATA-600:::Hard Drive, Mode:Active:::Power Consumption, Value:4.5 Watt:::Power Consumption, Mode:Idle:::Power Consumption, Value:50 mW:::Power Consumption, Type:Solid state drive:::Storage, ";1;Get reliable storage you can trust with uncompromising value and performance. Upgrade your hard disk drive (HDD) and enjoy quicker boot and application load times.;1;Home/Computer Accessories/Computer Components
ASUS P10S WS - motherboard - ATX - LGA1151 Socket - C236;P10S WS;4889929;374.99;419.99;In Stock;0;https://webobjects2.cdw.com/is/image/CDW/4889929?$product_search_result$;Audio:High Definition Audio (8-channel):::Audio Output, Audio Codec:Realtek ALC1150:::Audio Output, Compliant Standards:DTS Connect, DTS Studio Sound, High Definition Audio:::Audio Output, Type:Sound card:::Audio Output, Connectivity Details Type:Serial ATA cable:::Cable, Connectivity Details Type:Serial cable:::Cable, Brand:ASUS:::Header, Compatibility:PC:::Header, Manufacturer:Asus:::Header, Model:P10S WS:::Header, Packaged Quantity:1:::Header, Product Line:ASUS:::Header, Connector Type:Mini-jack:::Interface Provided, Type:Microphone:::Interface Provided, Qty:1:::Interface Provided, Type:VGA:::Interface Provided, Qty:2:::Interface Provided, Type:LAN (Gigabit Ethernet):::Interface Provided, Qty:4:::Interface Provided, Type:USB 3.0:::Interface Provided, Type:Audio line-in:::Interface Provided, Type:Audio line-out:::Interface Provided, Type:Audio line-out (center/subwoofer):::Interface Provided, Type:Audio line-out (rear):::Interface Provided, Type:Audio line-out (side surround):::Interface Provided, Type:DisplayPort:::Interface Provided, Type:DVI-D:::Interface Provided, Type:HDMI:::Interface Provided, Type:TOSLINK:::Interface Provided, Type:USB 3.1:::Interface Provided, Type:USB-C:::Interface Provided, Chipset Type:Intel C236:::Mainboard, Compatible Processors:Celeron, Core i3, Core i5, Core i7, Pentium, Xeon E3-1200 v5 series:::Mainboard, Form Factor:ATX:::Mainboard, Power Connectors:24-pin main power connector, 6-pin ATX12V connector, 8-pin ATX12V connector:::Mainboard, Processor Socket:LGA1151 Socket:::Mainboard, RAM Slots:4 DIMM slots:::Mainboard, Supported RAM (Registered or Buffered):Unbuffered:::Mainboard, Supported RAM Integrity Check:ECC, Non-ECC:::Mainboard, Supported RAM Speed:2133 MHz:::Mainboard, Supported RAM Technology:DDR4 SDRAM:::Mainboard, BIOS Features:ACPI 5.0a support, ASUS EZ Flash, ASUS Quiet Thermal Solution, DMI 3.0 support, SMBIOS 3.0 support, WfM 2.0 support:::Mainboard Features, BIOS Type:AMI:::Mainboard Features, Hardware Features:AMD Quad CrossFireX technology support, ASUS DIGI+ VRM, ASUS EPU (Energy Processing Unit), ASUS EZ DIY, Audio jack detect technology, Beat Thermal Chokes III, CrashFree BIOS 3, Fanless Design Heatsink, Intel Clear Video HD Technology, Intel Insider, Intel InTru 3D Technology, Intel Quick Sync Video, Intel Turbo Boost Technology, Jack retasking, Preboot eXecution Environment (PXE), Teaming Technology:::Mainboard Features, Sleep Wake Up:Wake on LAN (WOL), Wake on PME, Wake on ring (WOR):::Mainboard Features, Compliant Standards:ACPI 5.0a, Plug and Play:::Miscellaneous, Included Accessories:2 x M.2 screws, I/O back cover:::Miscellaneous, Product Type:Motherboard:::Miscellaneous, Data Link Protocol:Ethernet, Fast Ethernet, Gigabit Ethernet:::Networking, Network:2 x Gigabit Ethernet:::Networking, Network Controller:Intel I210:::Networking, Installed Qty:0:::Processor, Max Supported Qty:1:::Processor, Total Qty:1:::Slot Provided, Total Qty:2:::Slot Provided, Total Qty:4:::Slot Provided, Software Included:ASUS EZ Flash:::Software, Connector(s):8 x 7pin Serial ATA, 2 x M.2:::Storage Interfaces, Interface:Serial ATA-600 / PCIe 3.0:::Storage Interfaces, RAID (Level):RAID 0 / RAID 1 / RAID 10 / RAID 5:::Storage Interfaces, Max Allocated RAM Size:512 MB:::Video Memory, Type:Graphics adapter (CPU required):::Video Output, Depth:24.4 cm:::Dimensions & Weight, Width:30.5 cm:::Dimensions & Weight, Included Qty:1:::Cable Details, Included Qty:8:::Cable Details, Slot Comments:X16/x8 mode:::Expansion Slots, Type:PCIe 3.0 x16:::Expansion Slots, Slot Comments:X4 mode:::Expansion Slots, Slot Comments:X8 mode:::Expansion Slots, Type:CPU:::Expansion Slots, Type:DIMM 288-pin:::Expansion Slots, RAID Features:Intel Rapid Storage Technology:::Interfaces, Storage:M.2 socket, Serial ATA-600 (RAID):::Interfaces, Storage Ports:8 x SATA-600 (RAID), 2 x M.2:::Interfaces, USB 3.0 FireWire:USB 3.0, USB 3.1, USB-C:::Interfaces, USB FireWire Ports Configuration (Active):1 x USB-C + 1 x USB 3.1 + 4 x USB 3.0:::Interfaces, USB FireWire Ports Configuration (Headers):2 x USB 3.0 + 4 x USB 2.0:::Interfaces, Connector Type:Header:::Internal Interfaces, Qty:4:::Internal Interfaces, Type:USB 2.0:::Internal Interfaces, Qty:1:::Internal Interfaces, Type:Serial:::Internal Interfaces, Qty:2:::Internal Interfaces, Type:USB 3.0:::Internal Interfaces, Type:SPDIF out:::Internal Interfaces, Features:Dual channel memory architecture:::RAM, Max Supported Size:64 GB:::RAM, ;0;The P10S WS features Intel Socket 1151 with the C236 chipset designed for workstations. The P10S WS is your optimum solution for DIY workstation build that rivals top-tier prebuilt workstations. P10S WS supports AMD Quad-GPU CrossFireX technology via dual x16 slots up to x16 link. And quad flexible x16 slots can extend add-on card, such as graphic cards, RAID cards, LAN cards and Profession VGA cards, which is the perfect solution for operating conveniently.P10S WS is equipped for total display flexibility, with HDMI, DisplayPort, DVI-D and VGA connectivity all built in to the board. With a compatible advanced Intel process, you'll be able to connect and drive three independent displays simultaneously - great for multitasking, and even better for productivity. P10S WS dual M.2 sockets provide the flexibility to enable top-flight performance or data redundancy on SATA mode. In performance-maximizing RAID 0 configurations, P10S WS writes faster than a single-drive M.2 setup and performs read operations much quicker.;0;Home/Computer Accessories/Computer Components
ASUS H110M-C/CSM - motherboard - micro ATX - LGA1151 Socket - H110;H110M-C/CSM;4233380;118.99;133.27;In Stock;100;https://webobjects2.cdw.com/is/image/CDW/4233380?$product_search_result$;Audio:High Definition Audio (8-channel):::Audio Output, Audio Codec:Realtek ALC887:::Audio Output, Compliant Standards:High Definition Audio:::Audio Output, Type:Sound card:::Audio Output, Connectivity Details Type:Serial ATA cable:::Cable, Brand:ASUS:::Header, Compatibility:PC:::Header, Manufacturer:Asus Components:::Header, Model:H110M-C/CSM:::Header, Packaged Quantity:1:::Header, Product Line:ASUS:::Header, Connector Type:Mini-jack:::Interface Provided, Type:Audio line-out:::Interface Provided, Qty:1:::Interface Provided, Type:VGA:::Interface Provided, Qty:2:::Interface Provided, Type:USB 3.0:::Interface Provided, Qty:4:::Interface Provided, Type:USB 2.0:::Interface Provided, Type:Audio line-in:::Interface Provided, Type:DVI-D:::Interface Provided, Type:LAN (Gigabit Ethernet):::Interface Provided, Type:Microphone:::Interface Provided, Type:PS/2 keyboard:::Interface Provided, Type:PS/2 mouse:::Interface Provided, Type:Serial:::Interface Provided, Chipset Type:Intel H110 Express:::Mainboard, Compatible Processors:Celeron, Core i3, Core i5, Core i7, Pentium:::Mainboard, Compatible Processors Comments:Supports 6th Generation Intel Core i3 / i5 / i7 / Pentium / Celeron:::Mainboard, Form Factor:Micro ATX:::Mainboard, Power Connectors:24-pin main power connector, 4-pin ATX12V connector:::Mainboard, Processor Socket:LGA1151 Socket:::Mainboard, RAM Slots:2 DIMM slots:::Mainboard, Supported RAM (Registered or Buffered):Unbuffered:::Mainboard, Supported RAM Integrity Check:Non-ECC:::Mainboard, Supported RAM Speed:2133 MHz:::Mainboard, Supported RAM Technology:DDR4 SDRAM:::Mainboard, BIOS Features:ACPI 5.0 support, ASUS EZ Flash 3, ASUS Quiet Thermal Solution, DMI 2.0 support, Multilingual BIOS, SMBIOS 3.0 support, UEFI BIOS, WfM 2.0 support:::Mainboard Features, BIOS Type:AMI:::Mainboard Features, Hardware Features:ASUS 5X Protection II, ASUS DIGI+ VRM, ASUS Enhanced DRAM Overcurrent Protection, ASUS EZ DIY, ASUS Fan Xpert, ASUS Q-Design, ASUS Stainless Steel Back I/O, Audio jack detect technology, CrashFree BIOS 3, Fanless Design Heatsink, Intel Clear Video HD Technology, Intel Extreme Memory Profile (XMP) support, Intel Insider, Intel InTru 3D Technology, Intel Quick Sync Video, Intel Turbo Boost Technology 2.0, Jack retasking, LANGuard, Overvoltage protection, Preboot eXecution Environment (PXE), Q-DIMM, Q-Slot:::Mainboard Features, Sleep Wake Up:Wake on LAN (WOL), Wake on PME:::Mainboard Features, Compliant Standards:ACPI 5.0, Plug and Play:::Miscellaneous, Included Accessories:I/O back plate:::Miscellaneous, Product Type:Motherboard:::Miscellaneous, Data Link Protocol:Ethernet, Fast Ethernet, Gigabit Ethernet:::Networking, Network:Gigabit Ethernet:::Networking, Network Controller:Realtek RTL8111H:::Networking, Installed Qty:0:::Processor, Max Supported Qty:1:::Processor, Support Details Full Contract Period:3 years:::Service, Support Details Type:Limited warranty:::Service, Support Details Service Included:Cross shipping:::Service, Total Qty:1:::Slot Provided, Total Qty:2:::Slot Provided, Software Included:Antivirus (OEM version), ASUS AI Charger, ASUS AI Suite III, ASUS EZ Flash 3, ASUS EZ Update, Drivers & utilities, Media Streamer, Mobo Connect:::Software, Connector(s):4 x 7pin Serial ATA:::Storage Interfaces, Interface:Serial ATA-600:::Storage Interfaces, Supported Devices Qty:4:::Storage Interfaces, Max Allocated RAM Size:1024 MB:::Video Memory, Type:Graphics adapter (CPU required):::Video Output, Depth:18.2 cm:::Dimensions & Weight, Width:24.4 cm:::Dimensions & Weight, Included Qty:2:::Cable Details, Type:CPU:::Expansion Slots, Type:DIMM 288-pin:::Expansion Slots, Type:PCI:::Expansion Slots, Type:PCIe 2.0 x1:::Expansion Slots, Type:PCIe 3.0 x16:::Expansion Slots, Storage:Serial ATA-600:::Interfaces, Storage Ports:4 x SATA-600:::Interfaces, USB 3.0 FireWire:USB 3.0:::Interfaces, USB FireWire Ports Configuration (Active):2 x USB 3.0 + 4 x USB 2.0:::Interfaces, USB FireWire Ports Configuration (Headers):2 x USB 3.0 + 2 x USB 2.0:::Interfaces, Connector Type:Header:::Internal Interfaces, Qty:2:::Internal Interfaces, Type:USB 2.0:::Internal Interfaces, Qty:1:::Internal Interfaces, Type:Audio:::Internal Interfaces, Type:Parallel:::Internal Interfaces, Type:Serial:::Internal Interfaces, Type:USB 3.0:::Internal Interfaces, Features:Intel Extreme Memory Profiles (XMP):::RAM, Max Supported Size:32 GB:::RAM, Type:3 years warranty:::Service & Support, ;1;Industry-leading 5X Protection II employs the finest components, excellent circuit design, and exacting standards to guarantee quality and long-term durability of your motherboard with all-round protection. For you, that means exceptional protection and stability for your build - the result of decades of engineering experience from the world's leading motherboard brand.ASUS LANGuard is hardware-level networking protection that employs signal-coupling technology and premium anti-EMI surface-mounted capacitors ensuring a more reliable connection and better throughput, plus electrostatically-guarded and surge-protected components for greater tolerance to static electricity and improved protection against surges.;1;Home/Computer Accessories/Computer Components
Thermaltake ToughPower 750W GOLD (Modular) - power supply - 750 Watt;PS-TPD-0750MPCGUS-1;3340831;135.99;152.31;In Stock;100;https://webobjects2.cdw.com/is/image/CDW/3340831?$product_search_result$;Humidity Range Operating:20 - 90% (non-condensing):::Environmental Parameters, Max Operating Temperature:40 °C:::Environmental Parameters, Min Operating Temperature:0 °C:::Environmental Parameters, Brand:Thermaltake:::Header, Compatibility:PC:::Header, Manufacturer:Thermaltake Technology:::Header, Model:750W GOLD (Modular):::Header, Packaged Quantity:1:::Header, Product Line:Thermaltake ToughPower:::Header, Color:Black:::Miscellaneous, Color Category:Black:::Miscellaneous, Compliant Standards:BSMI, FCC, GOST, TUV, UL:::Miscellaneous, MTBF:120,000 hour(s):::Miscellaneous, 80 PLUS Certification:80 PLUS Gold:::Power Device, Cooling System:140 mm fan:::Power Device, Efficiency:92%:::Power Device, Form Factor:Internal:::Power Device, Frequency Required:47 - 63 Hz:::Power Device, Modular Cable Management:Yes:::Power Device, Power Device Features:Dual ball bearing cooling fan, Overpower protection, Overvoltage protection, Short-circuit protection, Single 12V rail:::Power Device, Power Factor Correction:Active Power Factor Correction (PFC):::Power Device, Power Provided:750 Watt:::Power Device, Power Supply Compatibility:PC/Server:::Power Device, PSU Form Factor:ATX:::Power Device, Specification Compliance:ATX12V 2.3/ EPS12V:::Power Device, Voltage Provided:+3.3, +5, ±12 V:::Power Device, Voltage Required:AC 100-240 V:::Power Device, Connector Qty:1:::Power Output Connectors Details, Connector Type:Power 24 pin ATX:::Power Output Connectors Details, Connector Qty:12:::Power Output Connectors Details, Connector Type:15 pin Serial ATA power:::Power Output Connectors Details, Connector Qty:4:::Power Output Connectors Details, Connector Type:8 pin PCI Express power with detachable 2 pin section:::Power Output Connectors Details, Connector Type:4 pin internal power:::Power Output Connectors Details, Connector Type:4 pin mini-power connector:::Power Output Connectors Details, Connector Type:Power 8 pin EPS12V with detachable 4 pin ATX12V section:::Power Output Connectors Details, Support Details Full Contract Period:5 years:::Service, Support Details Type:Limited warranty:::Service, Type:5 years warranty:::Service & Support, Product Type:Power supply:::General, Subcategory:Power supplies:::General, Bus:+12V:::Output Current, Max Current:62 A:::Output Current, Bus:+3.3V:::Output Current, Bus:+5V:::Output Current, Max Current:20 A:::Output Current, Bus:+5VSB:::Output Current, Max Current:3 A:::Output Current, Bus:-12V:::Output Current, Max Current:0.8 A:::Output Current, ;1;"The Thermaltake Toughpower series is a premium 80 Plus Gold certified power supply that uses the highest quality components for stable performance, excellent features with unbeatable efficiency vital to the current high-end system in market even in demanding conditions. With the 80 Plus Gold certification for its high power efficiency, and a single strong 12 V rail flexibly routes the maximum available power to your CPU and graphics card, offering maximized power usage and easy setup. Toughpower 750 W GOLD (Modular) comes with modular design to reduce cable clutter; and ultra-quiet fan delivers silent cooling, thus the entire computer and power supply can operate at its peak moment.";1;Home/Computer Accessories/Computer Components
ASUS Tinker Board - single-board computer;TINKER BOARD/2GB;5099597;116.99;131.03;In Stock;0;https://webobjects2.cdw.com/is/image/CDW/5099597?$product_search_result$;Graphics Accelerator:Mali T764:::Graphics System, Brand:ASUS:::Header, Manufacturer:Asus Components:::Header, Model:Tinker Board:::Header, Packaged Quantity:1:::Header, Product Line:ASUS:::Header, Connector Type:40 pin IDC:::Interface Provided, Type:GPIO:::Interface Provided, Connector Type:Mini-jack:::Interface Provided, Type:Audio line-out/microphone:::Interface Provided, Connector Type:RJ-45:::Interface Provided, Type:LAN:::Interface Provided, Connector Type:Type A:::Interface Provided, Qty:4:::Interface Provided, Type:USB 2.0:::Interface Provided, Connector Type:ZIF:::Interface Provided, Type:DSI:::Interface Provided, Type:CSI:::Interface Provided, Type:HDMI output:::Interface Provided, Type:SPDIF:::Interface Provided, Data Link Protocol:Bluetooth 4.0 EDR, Ethernet, Fast Ethernet, Gigabit Ethernet, IEEE 802.11b, IEEE 802.11g, IEEE 802.11n:::Networking, Wired Protocol:Gigabit Ethernet:::Networking, Wireless Protocol:802.11b/g/n, Bluetooth 4.0 EDR:::Networking, Power Source:USB port:::Power Device, Clock Speed:1.8 GHz:::Processor, Manufacturer:Rockchip:::Processor, Number of Cores:Quad-Core:::Processor, Type:RK3288:::Processor, Weight:55 g:::Dimensions & Weight, Supported Flash Memory Cards:microSD:::Flash Memory, Product Type:Single-board computer:::General, Installed Size:2 GB:::RAM, Technology:LPDDR3 SDRAM:::RAM, ;0;;0;Home/Computer Accessories/Computer Components
Microsoft Windows Group Policy Guide - reference book;0-7356-2217-5;1243409;129.99;145.59;In Stock;0;https://webobjects2.cdw.com/is/image/CDW/1243409?$product_search_result$;Author:Mar-Elia Darren, Melber Derek, Microsoft Group Policy Team, Stanek William:::Reference Resource, Category:Operating system:::Reference Resource, Media Qty:1:::Reference Resource, Media Type:CD-ROM:::Reference Resource, Release Month:May:::Reference Resource, Release Year:2005:::Reference Resource, Title:Microsoft Windows Group Policy Guide:::Reference Resource, Total Number of Pages:800:::Reference Resource, Type:Reference book:::Reference Resource, User Level:All levels:::Reference Resource, Brand:Microsoft:::Header, Compatibility:PC:::Header, Manufacturer:Microsoft Press:::Header, Packaged Quantity:1:::Header, ;0;Get the in-depth information you need to use Group Policy to administer your enterprise system - direct from industry experts and the Microsoft Group Policy team. With Group Policy and Active Directory service, administrators can take advantage of policy-based management to streamline the administration of users and computers throughout the enterprise - from servers running Windows Server 2003 or Windows 2000 Server to workstations running Windows XP Professional or Windows 2000 Professional. This essential resource explains how to simplify and automate administrative tasks, including policy enforcement, system updates, and software installations, as well as how to centralize the management of network resources. The CD provides essential utilities, custom ADMs, GPO spreadsheets, and more. It's everything you need to help increase your efficiency while bolstering user productivity, security services, and system reliability.;0;Home/Computer Accessories/Books
HP Standard Duty Cash Drawer - electronic cash drawer;QT457AT#ABC;2546649;146.99;164.63;In Stock;100;https://webobjects2.cdw.com/is/image/CDW/2546649?$product_search_result$;Depth:41.1 cm:::Dimensions & Weight, Height:11 cm:::Dimensions & Weight, Width:41.5 cm:::Dimensions & Weight, Max Operating Temperature:40 °C:::Environmental Parameters, Min Operating Temperature:5 °C:::Environmental Parameters, Category of Accessory:Barcode reader and POS accessories:::General, Type:3 years warranty:::Service & Support, Brand:HP:::Header, Compatibility:PC:::Header, Country Kits:Canada:::Header, Localization:French:::Header, Manufacturer:HP POS Sytems:::Header, Model:Standard Duty Cash Drawer:::Header, Packaged Quantity:1:::Header, Product Line:HP:::Header, Connector Qty:1:::Interface Provided, Connector Type:RJ-45:::Interface Provided, Color:Black:::Miscellaneous, Color Category:Black:::Miscellaneous, Features:Keyed alike:::Miscellaneous, Manufacturer Selling Program:HP Smart Buy:::Miscellaneous, Product Material:Steel:::Miscellaneous, Product Type:Electronic cash drawer:::Miscellaneous, Support Details Full Contract Period:3 years:::Service, Support Details Service Included:Parts:::Service, Support Details Type:Limited warranty:::Service, Type:Drivers & Utilities:::Software, Min Operating System:Microsoft Windows 7 Business (32/64 bits), Microsoft Windows Embedded for Point of Service, Microsoft Windows Embedded POSReady 2009, Microsoft Windows Vista Business, Microsoft Windows XP Professional:::System Requirements, ;1;HP's Standard Duty Cash Drawer provides excellent performance and reliability to meet the needs of today's retailers. Durable steel construction, compact footprint and dual media slots make this a great solution for retail and hospitality environments where a quality cash drawer solution is desired at a competitive price.;1;Home/Computer Accessories/Office Supplies
